m_lastLapTimeInMS,m_currentLapTimeInMS,m_sector1TimeInMS,m_sector1TimeMinutes,m_sector2TimeInMS,m_sector2TimeMinutes,m_deltaToCarInFrontInMS,m_deltaToRaceLeaderInMS,m_lapDistance,m_totalDistance,m_safetyCarDelta,m_carPosition,m_currentLapNum,m_pitStatus,m_numPitStops,m_sector,m_currentLapInvalid,m_penalties,m_totalWarnings,m_cornerCuttingWarnings,m_numUnservedDriveThroughPens,m_numUnservedStopGoPens,m_gridPosition,m_driverStatus,m_resultStatus,m_pitLaneTimerActive,m_pitLaneTimeInLaneInMS,m_pitStopTimerInMS,m_pitStopShouldServePen
66606,29326,17074,0,0,0,0,0,1841.65234375,49400.00390625,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,29626,17074,0,0,0,0,0,1866.5703125,49424.921875,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,30327,17074,0,0,0,0,0,1925.9765625,49484.328125,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,30728,17074,0,0,0,0,0,1960.74609375,49519.09765625,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,30928,17074,0,0,0,0,0,1978.36328125,49536.71484375,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,31228,17074,0,0,0,0,0,2005.02734375,49563.37890625,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,31428,17074,0,0,0,0,0,2022.9375,49581.2890625,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,31729,17074,0,0,0,0,0,2049.94140625,49608.29296875,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,32229,17074,0,0,0,0,0,2095.328125,49653.6796875,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,32729,17074,0,0,0,0,0,2135.5390625,49693.890625,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,32830,17074,0,0,0,0,0,2142.44921875,49700.80078125,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,32930,17074,0,0,0,0,0,2149.0078125,49707.359375,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,33030,17074,0,0,0,0,0,2155.21875,49713.5703125,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,33430,17074,0,0,0,0,0,2176.73828125,49735.08984375,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,33530,17074,0,0,0,0,0,2181.3828125,49739.734375,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,33630,17074,0,0,0,0,0,2185.68359375,49744.03515625,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,33731,17074,0,0,0,0,0,2189.77734375,49748.12890625,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,34131,17074,0,0,0,0,0,2205.27734375,49763.62890625,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,34431,17074,0,0,0,0,0,2216.92578125,49775.27734375,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
66606,34531,17074,0,0,0,0,0,2220.97265625,49779.32421875,0,1,12,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
