m_tractionControl,m_antiLockBrakes,m_fuelMix,m_frontBrakeBias,m_pitLimiterStatus,m_fuelInTank,m_fuelCapacity,m_fuelRemainingLaps,m_maxRPM,m_idleRPM,m_maxGears,m_drsAllowed,m_drsActivationDistance,m_actualTyreCompound,m_visualTyreCompound,m_tyresAgeLaps,m_vehicleFiaFlags,m_enginePowerICE,m_enginePowerMGUK,m_ersStoreEnergy,m_ersDeployMode,m_ersHarvestedThisLapMGUK,m_ersHarvestedThisLapMGUH,m_ersDeployedThisLap,m_networkPaused
0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,83,16,16,11,0,279187.53125,0,4000000,2,0,0,0,0
0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,81,16,16,11,0,301402.65625,0,4000000,2,0,0,0,0
0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,76,16,16,11,0,367503.9375,0,4000000,2,0,0,0,0
0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,72,16,16,11,0,460741.5625,0,4000000,2,0,0,0,0
0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,69,16,16,11,0,507639.125,0,4000000,2,0,0,0,0
0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,66,16,16,11,0,532757.125,1011.9163818359375,4000000,2,0,0,0,0
0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,24,16,16,11,0,594827,34833.8203125,4000000,2,0,0,0,0
0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,11,16,16,11,0,597411.125,41789.16796875,4000000,2,0,0,0,0
0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,6,16,16,11,0,598216.4375,44637.52734375,4000000,2,0,0,0,0
0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,0,1,16,16,11,0,603263.4375,47364.83984375,4000000,2,0,0,0,0
0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,1,0,16,16,11,0,600319.75,52581.74609375,4000000,2,0,0,0,0
0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,1,0,16,16,11,0,597367.75,55074.125,4000000,2,0,0,0,0
0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,1,0,16,16,11,0,601757.1875,69915.734375,4000000,2,0,0,0,0
0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,1,0,16,16,11,0,594531.0625,77904.234375,4000000,2,0,0,0,0
0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,1,0,16,16,11,0,591503,79733.875,4000000,2,0,0,0,0
0,1,3,63,0,10,110,6.92307710647583,13000,3499,9,1,0,16,16,11,0,588986.0625,81520.328125,4000000,2,0,0,0,0
